iter	Passed	Remaining
0	236	117952
1	312	77834
2	381	63267
3	446	55405
4	530	52521
5	653	53795
6	742	52284
7	868	53423
8	941	51372
9	1014	49734
10	1101	48969
11	1165	47414
12	1224	45876
13	1291	44829
14	1354	43808
15	1402	42435
16	1445	41066
17	1495	40056
18	1538	38951
19	1578	37881
20	1619	36937
21	1659	36066
22	1698	35224
23	1739	34506
24	1780	33832
25	1819	33169
26	1857	32534
27	1903	32084
28	1946	31617
29	1983	31076
30	2021	30584
31	2060	30133
32	2109	29854
33	2178	29864
34	2223	29543
35	2270	29266
36	2314	28965
37	2352	28596
38	2389	28248
39	2433	27979
40	2474	27706
41	2517	27454
42	2561	27220
43	2598	26931
44	2642	26720
45	2689	26546
46	2727	26288
47	2775	26139
48	2815	25911
49	2860	25743
50	2902	25553
51	2942	25351
52	2983	25161
53	3023	24970
54	3059	24756
55	3099	24570
56	3138	24394
57	3176	24209
58	3216	24042
59	3258	23898
60	3296	23726
61	3335	23564
62	3383	23468
63	3430	23372
64	3476	23268
65	3530	23217
66	3597	23250
67	3659	23245
68	3710	23179
69	3758	23086
70	3807	23008
71	3855	22919
72	3904	22840
73	3953	22757
74	4002	22680
75	4056	22628
76	4103	22540
77	4157	22493
78	4211	22443
79	4256	22344
80	4305	22273
81	4349	22171
82	4394	22076
83	4435	21964
84	4475	21850
85	4517	21748
86	4555	21627
87	4596	21521
88	4636	21411
89	4676	21305
90	4719	21212
91	4757	21098
92	4800	21006
93	4838	20899
94	4878	20799
95	4919	20701
96	4957	20598
97	4997	20500
98	5035	20395
99	5071	20286
100	5108	20179
101	5159	20132
102	5204	20058
103	5251	19996
104	5300	19938
105	5350	19888
106	5400	19837
107	5450	19784
108	5499	19727
109	5541	19647
110	5587	19580
111	5629	19500
112	5671	19423
113	5707	19323
114	5745	19234
115	5782	19141
116	5821	19057
117	5858	18967
118	5898	18884
119	5934	18793
120	5970	18702
121	6008	18615
122	6044	18527
123	6088	18460
124	6137	18411
125	6181	18348
126	6226	18286
127	6267	18215
128	6310	18149
129	6355	18087
130	6396	18017
131	6436	17943
132	6477	17872
133	6515	17795
134	6553	17720
135	6590	17639
136	6626	17556
137	6666	17488
138	6707	17419
139	6747	17349
140	6786	17280
141	6826	17211
142	6864	17137
143	6903	17066
144	6939	16990
145	6978	16920
146	7014	16845
147	7053	16775
148	7087	16697
149	7128	16632
150	7164	16558
151	7202	16490
152	7239	16419
153	7278	16351
154	7316	16285
155	7358	16225
156	7395	16157
157	7435	16093
158	7472	16025
159	7512	15963
160	7547	15892
161	7588	15832
162	7627	15770
163	7665	15705
164	7702	15638
165	7738	15571
166	7776	15505
167	7813	15440
168	7850	15376
169	7888	15312
170	7928	15254
171	7962	15183
172	8003	15128
173	8041	15066
174	8078	15003
175	8115	14939
176	8152	14877
177	8192	14820
178	8231	14762
179	8274	14711
180	8313	14651
181	8350	14590
182	8384	14524
183	8422	14465
184	8460	14405
185	8497	14344
186	8534	14284
187	8569	14221
188	8607	14163
189	8643	14102
190	8681	14044
191	8719	13987
192	8759	13933
193	8796	13874
194	8834	13818
195	8872	13761
196	8908	13702
197	8942	13639
198	8980	13583
199	9020	13530
200	9060	13477
201	9096	13419
202	9131	13359
203	9165	13298
204	9200	13239
205	9239	13186
206	9284	13141
207	9325	13091
208	9362	13035
209	9399	12980
210	9436	12924
211	9475	12871
212	9511	12815
213	9551	12764
214	9593	12716
215	9637	12671
216	9673	12615
217	9712	12563
218	9750	12511
219	9787	12456
220	9822	12400
221	9862	12349
222	9896	12293
223	9933	12239
224	9969	12185
225	10009	12135
226	10045	12081
227	10082	12028
228	10119	11975
229	10156	11922
230	10194	11871
231	10234	11822
232	10277	11777
233	10317	11728
234	10358	11680
235	10398	11631
236	10433	11577
237	10472	11528
238	10513	11481
239	10552	11432
240	10591	11382
241	10629	11332
242	10668	11283
243	10705	11231
244	10741	11179
245	10774	11125
246	10813	11076
247	10847	11022
248	10880	10968
249	10917	10917
250	10952	10864
251	10987	10812
252	11021	10759
253	11056	10708
254	11094	10659
255	11129	10608
256	11166	10558
257	11201	10507
258	11238	10457
259	11274	10407
260	11311	10357
261	11346	10307
262	11380	10255
263	11416	10205
264	11450	10153
265	11485	10103
266	11518	10052
267	11559	10006
268	11600	9961
269	11637	9913
270	11674	9865
271	11709	9815
272	11746	9767
273	11783	9718
274	11820	9671
275	11853	9620
276	11889	9571
277	11926	9523
278	11963	9476
279	11996	9425
280	12030	9375
281	12065	9327
282	12105	9282
283	12140	9233
284	12174	9184
285	12206	9133
286	12243	9086
287	12279	9038
288	12317	8992
289	12356	8948
290	12392	8900
291	12428	8853
292	12465	8806
293	12499	8758
294	12533	8709
295	12570	8663
296	12608	8618
297	12643	8570
298	12680	8524
299	12717	8478
300	12754	8432
301	12787	8383
302	12822	8336
303	12858	8290
304	12896	8245
305	12931	8198
306	12968	8153
307	13017	8115
308	13058	8071
309	13102	8030
310	13142	7986
311	13177	7940
312	13214	7895
313	13253	7850
314	13291	7805
315	13325	7759
316	13362	7714
317	13402	7670
318	13448	7630
319	13487	7586
320	13530	7544
321	13572	7502
322	13609	7457
323	13647	7413
324	13682	7367
325	13717	7321
326	13757	7278
327	13795	7234
328	13829	7187
329	13868	7144
330	13908	7101
331	13945	7056
332	13981	7011
333	14022	6969
334	14062	6926
335	14105	6884
336	14147	6842
337	14180	6796
